
{'loss': 1.7778, 'grad_norm': 0.46793779730796814, 'learning_rate': 8.794961280484156e-05, 'epoch': 0.46}
{'loss': 1.7794, 'grad_norm': 0.49623414874076843, 'learning_rate': 8.791642760063168e-05, 'epoch': 0.46}
{'loss': 1.7815, 'grad_norm': 0.47123610973358154, 'learning_rate': 8.788320304449708e-05, 'epoch': 0.46}
{'loss': 1.7807, 'grad_norm': 0.4845164120197296, 'learning_rate': 8.784993917092022e-05, 'epoch': 0.46}
{'loss': 1.7785, 'grad_norm': 0.49108168482780457, 'learning_rate': 8.781663601442431e-05, 'epoch': 0.46}
{'loss': 1.7831, 'grad_norm': 0.48203057050704956, 'learning_rate': 8.778329360957334e-05, 'epoch': 0.46}
{'loss': 1.7793, 'grad_norm': 0.5079044103622437, 'learning_rate': 8.774991199097204e-05, 'epoch': 0.46}
{'loss': 1.7756, 'grad_norm': 0.48273009061813354, 'learning_rate': 8.771649119326586e-05, 'epoch': 0.46}
{'loss': 1.7863, 'grad_norm': 0.48273545503616333, 'learning_rate': 8.768303125114088e-05, 'epoch': 0.46}
{'loss': 1.7785, 'grad_norm': 0.4818125069141388, 'learning_rate': 8.764953219932381e-05, 'epoch': 0.46}
{'loss': 1.7781, 'grad_norm': 0.49587079882621765, 'learning_rate': 8.761599407258198e-05, 'epoch': 0.46}
{'loss': 1.7796, 'grad_norm': 0.48148515820503235, 'learning_rate': 8.758241690572323e-05, 'epoch': 0.46}
{'loss': 1.774, 'grad_norm': 0.47231224179267883, 'learning_rate': 8.754880073359596e-05, 'epoch': 0.46}
{'loss': 1.7726, 'grad_norm': 0.4794243276119232, 'learning_rate': 8.751514559108902e-05, 'epoch': 0.46}
{'loss': 1.7747, 'grad_norm': 0.49640440940856934, 'learning_rate': 8.748145151313174e-05, 'epoch': 0.47}
{'eval_loss': 1.779361367225647, 'eval_runtime': 843.8617, 'eval_samples_per_second': 237.006, 'eval_steps_per_second': 29.626, 'epoch': 0.47}
{'loss': 1.7726, 'grad_norm': 0.4763375520706177, 'learning_rate': 8.744771853469383e-05, 'epoch': 0.47}
{'loss': 1.7712, 'grad_norm': 0.4935705065727234, 'learning_rate': 8.741394669078536e-05, 'epoch': 0.47}
{'loss': 1.7788, 'grad_norm': 0.4981310963630676, 'learning_rate': 8.738013601645679e-05, 'epoch': 0.47}
{'loss': 1.7731, 'grad_norm': 0.47047778964042664, 'learning_rate': 8.734628654679882e-05, 'epoch': 0.47}
{'loss': 1.7757, 'grad_norm': 0.4930866062641144, 'learning_rate': 8.731239831694248e-05, 'epoch': 0.47}
{'loss': 1.7742, 'grad_norm': 0.4695415496826172, 'learning_rate': 8.727847136205895e-05, 'epoch': 0.47}
{'loss': 1.7737, 'grad_norm': 0.4725811779499054, 'learning_rate': 8.724450571735969e-05, 'epoch': 0.47}
{'loss': 1.7731, 'grad_norm': 0.4929341971874237, 'learning_rate': 8.721050141809624e-05, 'epoch': 0.47}
{'loss': 1.7743, 'grad_norm': 0.48919352889060974, 'learning_rate': 8.717645849956027e-05, 'epoch': 0.47}
{'loss': 1.7688, 'grad_norm': 0.4765738248825073, 'learning_rate': 8.714237699708356e-05, 'epoch': 0.47}
{'loss': 1.7718, 'grad_norm': 0.4728851020336151, 'learning_rate': 8.710825694603795e-05, 'epoch': 0.47}
{'loss': 1.7711, 'grad_norm': 0.4757169485092163, 'learning_rate': 8.707409838183522e-05, 'epoch': 0.47}
{'loss': 1.7734, 'grad_norm': 0.5011109113693237, 'learning_rate': 8.703990133992717e-05, 'epoch': 0.47}
{'loss': 1.7743, 'grad_norm': 0.47532832622528076, 'learning_rate': 8.700566585580554e-05, 'epoch': 0.47}
{'loss': 1.769, 'grad_norm': 0.48161885142326355, 'learning_rate': 8.697139196500192e-05, 'epoch': 0.48}
{'loss': 1.7704, 'grad_norm': 0.48287755250930786, 'learning_rate': 8.693707970308784e-05, 'epoch': 0.48}
{'loss': 1.7728, 'grad_norm': 0.4678387939929962, 'learning_rate': 8.690272910567456e-05, 'epoch': 0.48}
{'loss': 1.767, 'grad_norm': 0.4818906784057617, 'learning_rate': 8.686834020841321e-05, 'epoch': 0.48}
{'loss': 1.7695, 'grad_norm': 0.46862557530403137, 'learning_rate': 8.683391304699462e-05, 'epoch': 0.48}
{'loss': 1.7688, 'grad_norm': 0.5126112103462219, 'learning_rate': 8.679944765714935e-05, 'epoch': 0.48}
{'eval_loss': 1.7739065885543823, 'eval_runtime': 958.0123, 'eval_samples_per_second': 208.766, 'eval_steps_per_second': 26.096, 'epoch': 0.48}
{'loss': 1.772, 'grad_norm': 0.4819234013557434, 'learning_rate': 8.676494407464762e-05, 'epoch': 0.48}
{'loss': 1.7631, 'grad_norm': 0.4760049879550934, 'learning_rate': 8.673040233529932e-05, 'epoch': 0.48}
{'loss': 1.7661, 'grad_norm': 0.48662951588630676, 'learning_rate': 8.669582247495389e-05, 'epoch': 0.48}
{'loss': 1.7721, 'grad_norm': 0.4647945463657379, 'learning_rate': 8.666120452950042e-05, 'epoch': 0.48}
{'loss': 1.7695, 'grad_norm': 0.48691344261169434, 'learning_rate': 8.662654853486742e-05, 'epoch': 0.48}
{'loss': 1.7697, 'grad_norm': 0.4593777060508728, 'learning_rate': 8.659185452702297e-05, 'epoch': 0.48}
{'loss': 1.7693, 'grad_norm': 0.4822726845741272, 'learning_rate': 8.655712254197458e-05, 'epoch': 0.48}
{'loss': 1.7653, 'grad_norm': 0.4674203097820282, 'learning_rate': 8.652235261576915e-05, 'epoch': 0.48}
{'loss': 1.7661, 'grad_norm': 0.47535544633865356, 'learning_rate': 8.648754478449299e-05, 'epoch': 0.48}
{'loss': 1.7653, 'grad_norm': 0.4847804307937622, 'learning_rate': 8.645269908427176e-05, 'epoch': 0.48}
{'loss': 1.7652, 'grad_norm': 0.47623059153556824, 'learning_rate': 8.641781555127035e-05, 'epoch': 0.49}
{'loss': 1.766, 'grad_norm': 0.48473528027534485, 'learning_rate': 8.638289422169302e-05, 'epoch': 0.49}
{'loss': 1.7624, 'grad_norm': 0.48782336711883545, 'learning_rate': 8.634793513178317e-05, 'epoch': 0.49}
{'loss': 1.7694, 'grad_norm': 0.47532036900520325, 'learning_rate': 8.631293831782345e-05, 'epoch': 0.49}
{'loss': 1.7673, 'grad_norm': 0.46496087312698364, 'learning_rate': 8.62779038161356e-05, 'epoch': 0.49}
{'loss': 1.7652, 'grad_norm': 0.4887055456638336, 'learning_rate': 8.624283166308053e-05, 'epoch': 0.49}
{'loss': 1.7683, 'grad_norm': 0.46796131134033203, 'learning_rate': 8.620772189505823e-05, 'epoch': 0.49}
{'loss': 1.7629, 'grad_norm': 0.47363054752349854, 'learning_rate': 8.617257454850766e-05, 'epoch': 0.49}
{'loss': 1.7657, 'grad_norm': 0.4690556526184082, 'learning_rate': 8.613738965990686e-05, 'epoch': 0.49}
{'loss': 1.7654, 'grad_norm': 0.469647079706192, 'learning_rate': 8.61021672657728e-05, 'epoch': 0.49}
{'eval_loss': 1.767662763595581, 'eval_runtime': 843.2539, 'eval_samples_per_second': 237.176, 'eval_steps_per_second': 29.647, 'epoch': 0.49}
{'loss': 1.7677, 'grad_norm': 0.4602493345737457, 'learning_rate': 8.606690740266135e-05, 'epoch': 0.49}
{'loss': 1.7645, 'grad_norm': 0.4782613217830658, 'learning_rate': 8.603161010716733e-05, 'epoch': 0.49}
{'loss': 1.7665, 'grad_norm': 0.4671981632709503, 'learning_rate': 8.599627541592437e-05, 'epoch': 0.49}
{'loss': 1.7669, 'grad_norm': 0.47610682249069214, 'learning_rate': 8.596090336560488e-05, 'epoch': 0.49}
