======================================================================
PRETRAINING Phase 3
======================================================================
Dataset size: 10,000,000 samples
Training sequence length: 2048
Loading from Phase 2 model: ./pyr-135m-base-2

Loading tokenizer from Phase 2...
Tokenizer loaded: vocab_size=16384

Loading Pyr model from Phase 3...
Pyr model loaded: 135.3M parameters

Loading FineWeb-EDU dataset (10,000,000 samples)...
Resolving data files: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2410/2410 [00:00<00:00, 6599.54it/s]
Loading dataset shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 98/98 [00:00<00:00, 98.65it/s]
Dataset loaded:
   Train: 9,575,379 samples
   Eval: 96,722 samples
Tokenizing dataset...
Tokenizing (num_proc=4): 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9575379/9575379 [2:33:35<00:00, 1039.08 examples/s]
Tokenizing (num_proc=4): 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 96722/96722 [01:51<00:00, 868.81 examples/s]
Dataset tokenized

Training configuration:
   Batch size: 8
   Gradient accumulation: 32
   Effective batch size: 256
   Total training steps: 37,403
   Estimated training time: 1558.5 minutes

Testing forward pass with longer sequence...
Forward pass successful!
   Current loss: 3.5939
   Output shape: torch.Size([1, 512, 16384])

======================================================================
STARTING PYR PHASE 3 PRETRAINING
======================================================================
Press Ctrl+C to stop training and save current checkpoint
{'loss': 3.3136, 'grad_norm': 0.58203125, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.2647, 'grad_norm': 0.52734375, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.2385, 'grad_norm': 0.53515625, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.2295, 'grad_norm': 0.4921875, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.2224, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.2078, 'grad_norm': 0.546875, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.2044, 'grad_norm': 0.53125, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.1951, 'grad_norm': 0.51171875, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.1935, 'grad_norm': 0.515625, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.1926, 'grad_norm': 0.5859375, 'learning_rate': 2e-05, 'epoch': 0.03}
{'eval_loss': 3.190337657928467, 'eval_runtime': 1866.6069, 'eval_samples_per_second': 51.817, 'eval_steps_per_second': 6.478, 'epoch': 0.03}
{'loss': 3.1874, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1831, 'grad_norm': 0.4765625, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1799, 'grad_norm': 0.48046875, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1836, 'grad_norm': 0.50390625, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.1756, 'grad_norm': 0.49609375, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.1722, 'grad_norm': 0.51953125, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.174, 'grad_norm': 0.48046875, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 3.1714, 'grad_norm': 0.498046875, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 3.1646, 'grad_norm': 0.5078125, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 3.1675, 'grad_norm': 0.474609375, 'learning_rate': 2e-05, 'epoch': 0.05}
{'eval_loss': 3.169818639755249, 'eval_runtime': 1857.7426, 'eval_samples_per_second': 52.064, 'eval_steps_per_second': 6.508, 'epoch': 0.05}
{'loss': 3.1637, 'grad_norm': 0.50390625, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.1673, 'grad_norm': 0.478515625, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.1617, 'grad_norm': 0.47265625, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.162, 'grad_norm': 0.486328125, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.1605, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.163, 'grad_norm': 0.5078125, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.1575, 'grad_norm': 0.48046875, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.1584, 'grad_norm': 0.53515625, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.1642, 'grad_norm': 0.515625, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 3.1569, 'grad_norm': 0.484375, 'learning_rate': 2e-05, 'epoch': 0.08}
{'eval_loss': 3.1610796451568604, 'eval_runtime': 1864.6612, 'eval_samples_per_second': 51.871, 'eval_steps_per_second': 6.484, 'epoch': 0.08}
{'loss': 3.158, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 3.1637, 'grad_norm': 0.50390625, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.1673, 'grad_norm': 0.478515625, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.1617, 'grad_norm': 0.47265625, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.162, 'grad_norm': 0.486328125, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.1605, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.163, 'grad_norm': 0.5078125, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.1575, 'grad_norm': 0.48046875, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.1584, 'grad_norm': 0.53515625, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.1642, 'grad_norm': 0.515625, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 3.1569, 'grad_norm': 0.484375, 'learning_rate': 2e-05, 'epoch': 0.08}
{'eval_loss': 3.1610796451568604, 'eval_runtime': 1864.6612, 'eval_samples_per_second': 51.871, 'eval_steps_per_second': 6.484, 'epoch': 0.08}
{'loss': 3.158, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 3.1587, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 3.1572, 'grad_norm': 0.5078125, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 3.1621, 'grad_norm': 0.50390625, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 3.1569, 'grad_norm': 0.484375, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 3.1563, 'grad_norm': 0.53125, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 3.1555, 'grad_norm': 0.53515625, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 3.1474, 'grad_norm': 0.48046875, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 3.158, 'grad_norm': 0.46875, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 3.151, 'grad_norm': 0.46484375, 'learning_rate': 2e-05, 'epoch': 0.11}
{'eval_loss': 3.1563220024108887, 'eval_runtime': 1998.187, 'eval_samples_per_second': 48.405, 'eval_steps_per_second': 6.051, 'epoch': 0.11}
{'loss': 3.1549, 'grad_norm': 0.49609375, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 3.1513, 'grad_norm': 0.51953125, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 3.1519, 'grad_norm': 0.48828125, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 3.1512, 'grad_norm': 0.47265625, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 3.1542, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 3.1552, 'grad_norm': 0.4765625, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 3.1509, 'grad_norm': 0.47265625, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 3.1494, 'grad_norm': 0.48046875, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 3.1478, 'grad_norm': 0.478515625, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 3.1584, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.13}
{'eval_loss': 3.1534245014190674, 'eval_runtime': 1855.1836, 'eval_samples_per_second': 52.136, 'eval_steps_per_second': 6.517, 'epoch': 0.13}
{'loss': 3.1533, 'grad_norm': 0.478515625, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 3.1495, 'grad_norm': 0.478515625, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 3.1514, 'grad_norm': 0.494140625, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 3.1507, 'grad_norm': 0.5, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 3.1489, 'grad_norm': 0.49609375, 'learning_rate': 2e-05, 'epoch': 0.15}
